branch_row,device_key,from_bus,to_bus,online,rate_a_mva,from_mva,to_mva,from_overload_mva,to_overload_mva,angle_deg,angle_min_deg,angle_max_deg,angle_below_min_deg,angle_above_max_deg,violated,invalid_limit_bounds,stored_terminal_flow_error_mva,stored_terminal_flow_inconsistent
1,NPCC_S7:BRANCH_ROW:33,37,38,1,2500,113.52044544902,110.377087888926,0,0,-0.844115249934664,-360,360,0,0,0,0,1.61445332534658e-12,0
2,NPCC_S7:BRANCH_ROW:34,37,39,1,3388,912.610875797085,906.433113039815,0,0,3.22867033552516,-360,360,0,0,0,0,6.20401062844496e-12,0
3,NPCC_S7:BRANCH_ROW:35,37,40,1,2500,80.0006850049945,83.532529759626,0,0,0.900711767815988,-360,360,0,0,0,0,7.75924379604531e-13,0
4,NPCC_S7:BRANCH_ROW:36,37,43,1,3745.98196383403,859.543692043437,871.753828728222,0,0,-7.83212841488916,-360,360,0,0,0,0,1.70553939695736e-12,0
5,NPCC_S7:BRANCH_ROW:37,38,69,1,1216,414.74878502846,423.187158541724,0,0,-9.7019101276046,-360,360,0,0,0,0,2.48181908042582e-13,0
6,NPCC_S7:BRANCH_ROW:38,39,73,1,2500,561.73741998624,558.199346522706,0,0,4.91578667951797,-360,360,0,0,0,0,1.60582658281783e-12,0
7,NPCC_S7:BRANCH_ROW:39,39,73,1,2500,561.73741998624,558.199346522706,0,0,4.91578667951797,-360,360,0,0,0,0,1.60582658281783e-12,0
8,NPCC_S7:BRANCH_ROW:40,40,44,1,1328.76341358641,287.356123718976,294.285187526546,0,0,-7.67232972583057,-360,360,0,0,0,0,1.74191692851356e-13,0
9,NPCC_S7:BRANCH_ROW:41,41,42,1,2500,160.458369604879,156.570178677225,0,0,-0.424099200529795,-360,360,0,0,0,0,3.12638803734444e-12,0
10,NPCC_S7:BRANCH_ROW:42,41,45,1,314.254622579561,55.4117962741653,60.9334765457722,0,0,-6.85300437136191,-360,360,0,0,0,0,1.33498859810686e-13,0
11,NPCC_S7:BRANCH_ROW:43,43,44,1,2500,222.202794268986,220.184498599532,0,0,1.06051045687458,-360,360,0,0,0,0,3.17764371615651e-14,0
12,NPCC_S7:BRANCH_ROW:44,43,50,1,3463.47124449306,459.331926625615,463.785570097653,0,0,-5.92332137225484,-360,360,0,0,0,0,5.83837988782846e-14,0
13,NPCC_S7:BRANCH_ROW:45,43,50,1,3463.47124449306,459.331926625615,463.785570097653,0,0,-5.92332137225484,-360,360,0,0,0,0,5.83837988782846e-14,0
14,NPCC_S7:BRANCH_ROW:46,44,45,1,2500,359.656529847177,354.805265825838,0,0,3.55678456207322,-360,360,0,0,0,0,4.76434667411928e-13,0
15,NPCC_S7:BRANCH_ROW:47,44,48,1,6896.14528055676,372.776039012072,387.986899528214,0,0,-19.7771498309995,-360,360,0,0,0,0,2.73927817690396e-13,0
16,NPCC_S7:BRANCH_ROW:48,45,46,1,2040.85471944324,98.104219093429,104.453748921483,0,0,-19.3288917726876,-360,360,0,0,0,0,1.58882185807825e-14,0
17,NPCC_S7:BRANCH_ROW:49,45,51,1,489.56239109923,89.2449928106719,92.580300682233,0,0,-8.96430452862935,-360,360,0,0,0,0,4.54969341307734e-14,0
18,NPCC_S7:BRANCH_ROW:50,45,71,1,166.495119914644,36.4676491056038,40.0508999105775,0,0,-11.027599285053,-360,360,0,0,0,0,1.77635683940025e-15,0
19,NPCC_S7:BRANCH_ROW:51,46,47,1,2500,120.981871852564,125.763303049124,0,0,-8.06758182002546,-360,360,0,0,0,0,2.92964275105423e-14,0
20,NPCC_S7:BRANCH_ROW:52,46,49,1,2500,6.53476151192827,3.69107349511997,0,0,1.15809741763421,-360,360,0,0,0,0,4.44089209850063e-16,0
21,NPCC_S7:BRANCH_ROW:53,47,48,1,2500,259.929385407571,259.929386501264,0,0,4.06253919964031,-360,360,0,0,0,0,4.13402929296227e-13,0
22,NPCC_S7:BRANCH_ROW:54,50,51,1,2500,183.412856027163,180.575059980194,0,0,1.57631186257328,-360,360,0,0,0,0,3.17764371615651e-14,0
23,NPCC_S7:BRANCH_ROW:55,50,52,1,2858.06690137886,261.112976600345,290.532448069094,0,0,-2.79208215694367,-360,360,0,0,0,0,1.4210854715202e-14,0
24,NPCC_S7:BRANCH_ROW:56,51,53,1,290.964700741948,10.5625414889485,16.1166826685815,0,0,-0.492757406204383,-360,360,0,0,0,0,1.77635683940025e-15,0
25,NPCC_S7:BRANCH_ROW:57,51,72,1,2500,162.832862283825,166.971858998485,0,0,-1.88573213734377,-360,360,0,0,0,0,1.90958360235527e-14,0
26,NPCC_S7:BRANCH_ROW:58,52,53,1,2500,210.556754680172,207.924057171823,0,0,3.87563661331257,-360,360,0,0,0,0,5.72857867687912e-14,0
27,NPCC_S7:BRANCH_ROW:59,53,55,1,997.983883346124,139.12832662514,147.161149557991,0,0,-7.67925902931205,-360,360,0,0,0,0,7.105427357601e-15,0
28,NPCC_S7:BRANCH_ROW:60,53,65,1,785.968397879188,19.4108172403475,19.545341793078,0,0,0.746691289855207,-360,360,0,0,0,0,1.77635683940025e-15,0
29,NPCC_S7:BRANCH_ROW:61,54,56,1,789.941803,158.425335243502,161.932940217217,0,0,-0.761786187489257,-360,360,0,0,0,0,2.35081214474306e-12,0
