branch_row,device_key,from_bus,to_bus,online,rate_a_mva,from_mva,to_mva,from_overload_mva,to_overload_mva,angle_deg,angle_min_deg,angle_max_deg,angle_below_min_deg,angle_above_max_deg,violated,invalid_limit_bounds,stored_terminal_flow_error_mva,stored_terminal_flow_inconsistent
1,NPCC_S7:BRANCH_ROW:33,37,38,1,2500,52.9374585311922,29.7729608751618,0,0,-0.113637308213178,-360,360,0,0,0,0,7.94410929039127e-15,0
2,NPCC_S7:BRANCH_ROW:34,37,39,1,3388,590.844922584977,586.94345695862,0,0,2.46019972266079,-360,360,0,0,0,0,1.16375100519116e-13,0
3,NPCC_S7:BRANCH_ROW:35,37,40,1,2500,16.0437382768209,21.8585713837005,0,0,0.068951517375087,-360,360,0,0,0,0,3.66205343881779e-15,0
4,NPCC_S7:BRANCH_ROW:36,37,43,1,3745.98196383403,638.294159341193,652.366357568167,0,0,-6.87841396810359,-360,360,0,0,0,0,1.17185710042169e-13,0
5,NPCC_S7:BRANCH_ROW:37,38,69,1,1216,222.37445858204,223.502803147536,0,0,-5.87112509872228,-360,360,0,0,0,0,1.4210854715202e-14,0
6,NPCC_S7:BRANCH_ROW:38,39,73,1,2500,365.034296878418,362.642365711607,0,0,3.77710777723502,-360,360,0,0,0,0,5.32907051820075e-15,0
7,NPCC_S7:BRANCH_ROW:39,39,73,1,2500,365.034296878418,362.642365711607,0,0,3.77710777723502,-360,360,0,0,0,0,5.32907051820075e-15,0
8,NPCC_S7:BRANCH_ROW:40,40,44,1,1328.76341358641,212.353419945498,219.357182817121,0,0,-6.61300127074893,-360,360,0,0,0,0,2.05074992573796e-13,0
9,NPCC_S7:BRANCH_ROW:41,41,42,1,2500,88.0636569953185,81.5241601869951,0,0,0.11461165052213,-360,360,0,0,0,0,1.4238583238574e-14,0
10,NPCC_S7:BRANCH_ROW:42,41,45,1,314.254622579561,50.1168147321594,55.1142381765638,0,0,-7.09961119327317,-360,360,0,0,0,0,3.5527136788005e-15,0
11,NPCC_S7:BRANCH_ROW:43,43,44,1,2500,58.932864623163,58.7646928034565,0,0,0.334364214729753,-360,360,0,0,0,0,7.10009628718115e-13,0
12,NPCC_S7:BRANCH_ROW:44,43,50,1,3463.47124449306,316.769804111051,321.508077556743,0,0,-4.95048477837138,-360,360,0,0,0,0,5.72857867687912e-14,0
13,NPCC_S7:BRANCH_ROW:45,43,50,1,3463.47124449306,316.769804111051,321.508077556743,0,0,-4.95048477837138,-360,360,0,0,0,0,5.72857867687912e-14,0
14,NPCC_S7:BRANCH_ROW:46,44,45,1,2500,125.727100304874,124.991074460164,0,0,1.45254173853898,-360,360,0,0,0,0,3.50982220289452e-13,0
15,NPCC_S7:BRANCH_ROW:47,44,48,1,6896.14528055676,253.185638019539,264.184575094972,0,0,-16.3123042476958,-360,360,0,0,0,0,5.85928550210846e-14,0
16,NPCC_S7:BRANCH_ROW:48,45,46,1,2040.85471944324,62.784542410809,67.8902001941662,0,0,-14.5442694629162,-360,360,0,0,0,0,1.4210854715202e-14,0
17,NPCC_S7:BRANCH_ROW:49,45,51,1,489.56239109923,47.644206452922,50.5578271089195,0,0,-5.5120263429459,-360,360,0,0,0,0,7.105427357601e-15,0
18,NPCC_S7:BRANCH_ROW:50,45,71,1,166.495119914644,15.257860857946,12.7475316992843,0,0,-3.51494510931245,-360,360,0,0,0,0,1.98602732259782e-15,0
19,NPCC_S7:BRANCH_ROW:51,46,47,1,2500,78.2829076752024,80.9627009312681,0,0,-6.31773302161348,-360,360,0,0,0,0,1.06581410364015e-14,0
20,NPCC_S7:BRANCH_ROW:52,46,49,1,2500,2.83296280376087,5.24150896908568,0,0,0.722335539400078,-360,360,0,0,0,0,9.93013661298909e-16,0
21,NPCC_S7:BRANCH_ROW:53,47,48,1,2500,170.102338844639,167.031103271908,0,0,3.09715649829486,-360,360,0,0,0,0,3.17764371615651e-14,0
22,NPCC_S7:BRANCH_ROW:54,50,51,1,2500,210.556848272291,202.334284109644,0,0,1.22536438869422,-360,360,0,0,0,0,2.8421709430404e-14,0
23,NPCC_S7:BRANCH_ROW:55,50,52,1,2858.06690137886,354.891612555011,406.565238446048,0,0,-4.44577110727049,-360,360,0,0,0,0,7.12245996859432e-13,0
24,NPCC_S7:BRANCH_ROW:56,51,53,1,290.964700741948,24.989986952632,38.0152315905756,0,0,-4.22686378063795,-360,360,0,0,0,0,4.14314051144892e-14,0
25,NPCC_S7:BRANCH_ROW:57,51,72,1,2500,109.515224445114,131.81418793197,0,0,-0.761622121733833,-360,360,0,0,0,0,3.5527136788005e-15,0
26,NPCC_S7:BRANCH_ROW:58,52,53,1,2500,96.1108900382364,92.9136783778809,0,0,1.44427171532676,-360,360,0,0,0,0,3.76587649952853e-13,0
27,NPCC_S7:BRANCH_ROW:59,53,55,1,997.983883346124,68.5164223818588,72.4666656010603,0,0,-5.1540810414462,-360,360,0,0,0,0,9.32545045515574e-14,0
28,NPCC_S7:BRANCH_ROW:60,53,65,1,785.968397879188,209.868020907657,243.01639989746,0,0,5.984956195236,-360,360,0,0,0,0,2.1656988244172e-13,0
29,NPCC_S7:BRANCH_ROW:61,54,56,1,789.941803,708.167117977277,755.040676998689,0,0,4.2433731089365,-360,360,0,0,0,0,1.53799268932286e-12,0
30,NPCC_S7:BRANCH_ROW:62,54,62,1,789.941803,145.530455123419,147.620113548641,0,0,5.01131101699943,-360,360,0,0,0,0,2.69632010386691e-13,0
31,NPCC_S7:BRANCH_ROW:65,55,57,1,789.941803,350.028095983279,401.94280909662,0,0,2.97979241821361,-360,360,0,0,0,0,7.105427357601e-14,0
32,NPCC_S7:BRANCH_ROW:66,55,59,1,789.941803,93.5932303237778,96.7004149422138,0,0,3.03582155187367,-360,360,0,0,0,0,2.31335954426011e-13,0
33,NPCC_S7:BRANCH_ROW:67,56,58,1,2500,103.330310057468,96.6450050913461,0,0,0.702149383230399,-360,360,0,0,0,0,9.97800366436761e-13,0
34,NPCC_S7:BRANCH_ROW:68,57,59,1,2500,120.247969114911,114.434540016365,0,0,0.0560291336600613,-360,360,0,0,0,0,4.28451967072798e-13,0
35,NPCC_S7:BRANCH_ROW:69,58,60,1,2500,124.328606488941,101.560377567269,0,0,-0.261167656147826,-360,360,0,0,0,0,0,0
36,NPCC_S7:BRANCH_ROW:70,58,62,1,2500,54.6542227084361,56.9461411288734,0,0,0.0657885248325343,-360,360,0,0,0,0,1.41496160925887e-12,0
37,NPCC_S7:BRANCH_ROW:71,59,61,1,2500,19.399634170449,15.6673057844495,0,0,-0.553013942310201,-360,360,0,0,0,0,2.54713714371639e-13,0
38,NPCC_S7:BRANCH_ROW:73,62,63,1,620,124.619628508498,121.731465122522,0,0,5.57629178018876,-360,360,0,0,0,0,1.52559995240039e-13,0
39,NPCC_S7:BRANCH_ROW:74,63,64,1,2500,70.5170826084886,71.8968355289458,0,0,1.41849886387686,-360,360,0,0,0,0,7.105427357601e-15,0
40,NPCC_S7:BRANCH_ROW:75,63,67,1,2500,55.5688723999011,55.5069959012143,0,0,2.88262060827063,-360,360,0,0,0,0,7.32410687763558e-15,0
41,NPCC_S7:BRANCH_ROW:76,64,65,1,2500,73.8417408226183,72.0117782825309,0,0,1.39573028797705,-360,360,0,0,0,0,8.88178419700125e-16,0
