experiment,timestamp,interface,observed_benchmark_mw,predicted_benchmark_mw,absolute_error_benchmark_mw,absolute_error_pct
paper_J_only_hydro_boundary_load,2019-01-21 18:00:00,Dysinger East,809.314437214,759.739152681,49.5752845331,6.12559003689
paper_J_only_hydro_boundary_load,2019-01-21 18:00:00,West Central,483.918133237,448.150169678,35.7679635587,7.39132533006
paper_J_only_hydro_boundary_load,2019-01-21 18:00:00,Total East,1693.81165011,1887.65192397,193.840273862,11.4440276668
paper_J_only_hydro_boundary_load,2019-01-21 18:00:00,Moses South,380.296730817,530.311957276,150.015226459,39.4468882593
paper_J_only_hydro_boundary_load,2019-01-21 18:00:00,Central East,980.145852934,1098.60908096,118.463228025,12.0862856962
paper_J_only_hydro_boundary_load,2019-01-21 18:00:00,UpNY-Coned,952.10892789,748.681214582,203.427713308,21.36601258
paper_J_only_hydro_boundary_load,2019-01-21 18:00:00,Dun/SPR-South,913.444841109,767.838678595,145.606162514,15.9403344309
thermal_residual_statewide_normalization,2019-01-21 18:00:00,Dysinger East,809.314437214,789.745491423,19.5689457913,2.41796573637
thermal_residual_statewide_normalization,2019-01-21 18:00:00,West Central,483.918133237,479.435740655,4.4823925814,0.926270844909
thermal_residual_statewide_normalization,2019-01-21 18:00:00,Total East,1693.81165011,1970.99668506,277.185034945,16.3645724675
thermal_residual_statewide_normalization,2019-01-21 18:00:00,Moses South,380.296730817,534.511176136,154.214445319,40.5510836204
thermal_residual_statewide_normalization,2019-01-21 18:00:00,Central East,980.145852934,1127.5370993,147.391246366,15.0376850471
thermal_residual_statewide_normalization,2019-01-21 18:00:00,UpNY-Coned,952.10892789,849.766607227,102.342320663,10.7490138644
thermal_residual_statewide_normalization,2019-01-21 18:00:00,Dun/SPR-South,913.444841109,920.560185202,7.11534409299,0.778957171004
current_boundary_only,2019-01-21 18:00:00,Dysinger East,809.314437214,889.390886476,80.0764492621,9.89435571393
current_boundary_only,2019-01-21 18:00:00,West Central,483.918133237,577.801903473,93.8837702365,19.4007547534
current_boundary_only,2019-01-21 18:00:00,Total East,1693.81165011,1691.87461803,1.93703208643,0.114359355499
current_boundary_only,2019-01-21 18:00:00,Moses South,380.296730817,400.66022348,20.3634926639,5.35463258394
current_boundary_only,2019-01-21 18:00:00,Central East,980.145852934,1022.13866725,41.9928143155,4.28434341581
current_boundary_only,2019-01-21 18:00:00,UpNY-Coned,952.10892789,673.547752287,278.561175604,29.2572800699
current_boundary_only,2019-01-21 18:00:00,Dun/SPR-South,913.444841109,639.344588845,274.100252264,30.0073129683
current_within_zone_gross_load_placement,2019-01-21 18:00:00,Dysinger East,809.314437214,759.739152681,49.5752845331,6.12559003689
current_within_zone_gross_load_placement,2019-01-21 18:00:00,West Central,483.918133237,448.150169678,35.7679635587,7.39132533006
current_within_zone_gross_load_placement,2019-01-21 18:00:00,Total East,1693.81165011,1887.65192397,193.840273862,11.4440276668
current_within_zone_gross_load_placement,2019-01-21 18:00:00,Moses South,380.296730817,724.83640829,344.539677474,90.5975911847
current_within_zone_gross_load_placement,2019-01-21 18:00:00,Central East,980.145852934,1120.57556252,140.429709591,14.3274298586
current_within_zone_gross_load_placement,2019-01-21 18:00:00,UpNY-Coned,952.10892789,726.75374423,225.35518366,23.669054775
current_within_zone_gross_load_placement,2019-01-21 18:00:00,Dun/SPR-South,913.444841109,-123.337213678,1036.78205479,113.502425995
current_hydro_spatial_rule_fixed_paper_total,2019-01-21 18:00:00,Dysinger East,809.314437214,587.093851122,222.220586092,27.4578798886
current_hydro_spatial_rule_fixed_paper_total,2019-01-21 18:00:00,West Central,483.918133237,262.793189741,221.124943496,45.694700882
current_hydro_spatial_rule_fixed_paper_total,2019-01-21 18:00:00,Total East,1693.81165011,1764.59681864,70.7851685256,4.17904603035
current_hydro_spatial_rule_fixed_paper_total,2019-01-21 18:00:00,Moses South,380.296730817,245.281017134,135.015713682,35.5027279336
current_hydro_spatial_rule_fixed_paper_total,2019-01-21 18:00:00,Central East,980.145852934,973.834568689,6.31128424432,0.643912763129
current_hydro_spatial_rule_fixed_paper_total,2019-01-21 18:00:00,UpNY-Coned,952.10892789,750.765689557,201.343238333,21.1470801749
current_hydro_spatial_rule_fixed_paper_total,2019-01-21 18:00:00,Dun/SPR-South,913.444841109,767.838678595,145.606162514,15.9403344309
paper_J_only_hydro_boundary_load,2019-04-21 04:00:00,Dysinger East,332.062639206,499.50113913,167.438499924,50.4237695405
paper_J_only_hydro_boundary_load,2019-04-21 04:00:00,West Central,271.722501949,444.503603805,172.781101856,63.5873365719
paper_J_only_hydro_boundary_load,2019-04-21 04:00:00,Total East,1283.80931825,1302.3696092,18.5602909485,1.44572022377
paper_J_only_hydro_boundary_load,2019-04-21 04:00:00,Moses South,306.724049639,402.51049841,95.786448771,31.2288680603
paper_J_only_hydro_boundary_load,2019-04-21 04:00:00,Central East,675.048934257,777.028883936,101.979949679,15.1070455049
paper_J_only_hydro_boundary_load,2019-04-21 04:00:00,UpNY-Coned,518.815967766,638.39660444,119.580636674,23.048757961
paper_J_only_hydro_boundary_load,2019-04-21 04:00:00,Dun/SPR-South,739.783281546,851.355347699,111.572066152,15.0817231121
thermal_residual_statewide_normalization,2019-04-21 04:00:00,Dysinger East,332.062639206,499.50113913,167.438499924,50.4237695405
thermal_residual_statewide_normalization,2019-04-21 04:00:00,West Central,271.722501949,444.503603805,172.781101856,63.5873365719
thermal_residual_statewide_normalization,2019-04-21 04:00:00,Total East,1283.80931825,1318.03364858,34.2243303296,2.66584218101
thermal_residual_statewide_normalization,2019-04-21 04:00:00,Moses South,306.724049639,402.51049841,95.786448771,31.2288680603
thermal_residual_statewide_normalization,2019-04-21 04:00:00,Central East,675.048934257,782.59715276,107.548218502,15.9319144205
thermal_residual_statewide_normalization,2019-04-21 04:00:00,UpNY-Coned,518.815967766,684.868848341,166.052880574,32.00612373
thermal_residual_statewide_normalization,2019-04-21 04:00:00,Dun/SPR-South,739.783281546,920.706144779,180.922863233,24.456197882
current_boundary_only,2019-04-21 04:00:00,Dysinger East,332.062639206,587.686768557,255.62412935,76.9806955582
current_boundary_only,2019-04-21 04:00:00,West Central,271.722501949,532.689233232,260.966731283,96.0416341712
current_boundary_only,2019-04-21 04:00:00,Total East,1283.80931825,1260.34753883,23.4617794188,1.82751278443
current_boundary_only,2019-04-21 04:00:00,Moses South,306.724049639,314.324868983,7.60081934433,2.47806435566
current_boundary_only,2019-04-21 04:00:00,Central East,675.048934257,745.607217518,70.5582832609,10.4523212585
current_boundary_only,2019-04-21 04:00:00,UpNY-Coned,518.815967766,639.804265393,120.988297627,23.3200797862
current_boundary_only,2019-04-21 04:00:00,Dun/SPR-South,739.783281546,809.648942721,69.8656611751,9.44407138116
current_within_zone_gross_load_placement,2019-04-21 04:00:00,Dysinger East,332.062639206,499.50113913,167.438499924,50.4237695405
current_within_zone_gross_load_placement,2019-04-21 04:00:00,West Central,271.722501949,444.503603805,172.781101856,63.5873365719
current_within_zone_gross_load_placement,2019-04-21 04:00:00,Total East,1283.80931825,1302.3696092,18.5602909485,1.44572022377
current_within_zone_gross_load_placement,2019-04-21 04:00:00,Moses South,306.724049639,521.735161935,215.011112296,70.0992023773
current_within_zone_gross_load_placement,2019-04-21 04:00:00,Central East,675.048934257,786.635387238,111.58645298,16.5301280126
current_within_zone_gross_load_placement,2019-04-21 04:00:00,UpNY-Coned,518.815967766,628.797963232,109.981995466,21.1986527591
current_within_zone_gross_load_placement,2019-04-21 04:00:00,Dun/SPR-South,739.783281546,382.394775398,357.388506148,48.3098922431
current_hydro_spatial_rule_fixed_paper_total,2019-04-21 04:00:00,Dysinger East,332.062639206,538.67335956,206.610720354,62.2204054174
current_hydro_spatial_rule_fixed_paper_total,2019-04-21 04:00:00,West Central,271.722501949,471.053186389,199.33068444,73.3581808686
current_hydro_spatial_rule_fixed_paper_total,2019-04-21 04:00:00,Total East,1283.80931825,1306.34981872,22.5405004694,1.75575143045
current_hydro_spatial_rule_fixed_paper_total,2019-04-21 04:00:00,Moses South,306.724049639,109.4888462,197.235203439,64.3037947858
current_hydro_spatial_rule_fixed_paper_total,2019-04-21 04:00:00,Central East,675.048934257,770.702468247,95.6535339893,14.1698666771
current_hydro_spatial_rule_fixed_paper_total,2019-04-21 04:00:00,UpNY-Coned,518.815967766,639.272789442,120.456821676,23.2176396179
current_hydro_spatial_rule_fixed_paper_total,2019-04-21 04:00:00,Dun/SPR-South,739.783281546,851.355347699,111.572066152,15.0817231121
paper_J_only_hydro_boundary_load,2019-07-17 16:00:00,Dysinger East,337.772541835,152.169162632,185.603379202,54.9492206188
paper_J_only_hydro_boundary_load,2019-07-17 16:00:00,West Central,6.06378269045,-173.266756159,179.33053885,2957.40378579
paper_J_only_hydro_boundary_load,2019-07-17 16:00:00,Total East,1219.47458046,1475.56369624,256.089115781,20.9999552172
paper_J_only_hydro_boundary_load,2019-07-17 16:00:00,Moses South,402.253135599,480.042336887,77.789201288,19.3383703951
paper_J_only_hydro_boundary_load,2019-07-17 16:00:00,Central East,711.225100735,655.617558314,55.6075424215,7.81855735463
paper_J_only_hydro_boundary_load,2019-07-17 16:00:00,UpNY-Coned,938.091810352,800.164967491,137.926842861,14.7029151453
paper_J_only_hydro_boundary_load,2019-07-17 16:00:00,Dun/SPR-South,758.843488858,509.720947165,249.122541693,32.8292388814
thermal_residual_statewide_normalization,2019-07-17 16:00:00,Dysinger East,337.772541835,164.835063923,172.937477912,51.1993890837
thermal_residual_statewide_normalization,2019-07-17 16:00:00,West Central,6.06378269045,-160.190068881,166.253851571,2741.75147855
thermal_residual_statewide_normalization,2019-07-17 16:00:00,Total East,1219.47458046,1553.57880175,334.104221297,27.3973911922
thermal_residual_statewide_normalization,2019-07-17 16:00:00,Moses South,402.253135599,480.042336887,77.789201288,19.3383703951
thermal_residual_statewide_normalization,2019-07-17 16:00:00,Central East,711.225100735,654.83803871,56.3870620257,7.92815972994
thermal_residual_statewide_normalization,2019-07-17 16:00:00,UpNY-Coned,938.091810352,973.399491614,35.3076812614,3.76377672972
thermal_residual_statewide_normalization,2019-07-17 16:00:00,Dun/SPR-South,758.843488858,784.864795535,26.0213066765,3.4290742503
current_boundary_only,2019-07-17 16:00:00,Dysinger East,337.772541835,231.415742979,106.356798856,31.487698283
current_boundary_only,2019-07-17 16:00:00,West Central,6.06378269045,-94.0201758126,100.083958503,1650.52020516
