experiment,criterion,rank,timestamp,interface,observed_actual_mw,predicted_actual_scale_mw,observed_benchmark_mw,predicted_benchmark_mw,signed_error_benchmark_mw,absolute_error_actual_scale_mw,absolute_error_pct,paper_rating_error_pct,wrong_direction
reference_NY46__paper_roles,pooled,1,2019-01-08 15:00:00,Dysinger East,1471.67833333,1467.33403172,527.835426079,526.277289194,-1.55813688476,4.34430161442,0.295193692536,0.137914336966,False
reference_NY46__paper_roles,pooled,1,2019-01-08 15:00:00,West Central,844.62,875.306104639,302.933288802,313.93923538,11.0059465783,30.6861046395,3.6331255049,-0.306891735568,False
reference_NY46__paper_roles,pooled,1,2019-01-08 15:00:00,Total East,4738.215,4856.35355752,1699.41873624,1741.79057418,42.3718379424,118.138557517,2.49331356886,-1.73733172819,False
reference_NY46__paper_roles,pooled,1,2019-01-08 15:00:00,Moses South,1996.77083333,2078.00510013,716.16627066,745.301933566,29.135662906,81.2342667951,4.06828191994,-2.70780889317,False
reference_NY46__paper_roles,pooled,1,2019-01-08 15:00:00,Central East,2725.35583333,2772.48434474,977.48218814,994.385404921,16.9032167815,47.1285114109,1.7292608486,-1.65945462714,False
reference_NY46__paper_roles,pooled,1,2019-01-08 15:00:00,UpNY-Coned,2106.41666667,2153.1527548,755.492089247,772.254558622,16.7624693743,46.7360881298,2.21874849688,-0.819931370698,False
reference_NY46__paper_roles,pooled,1,2019-01-08 15:00:00,Dun/SPR-South,2422.56083333,2419.48333333,868.881059605,867.777276607,-1.10378299861,3.07749999999,0.127034993617,0.0669021739128,False
reference_NY46__paper_roles,pooled,2,2019-10-30 12:00:00,Dysinger East,538.903333333,541.929873072,193.284268799,194.369774277,1.08550547771,3.02653973821,0.561610877315,-0.0960806266099,False
reference_NY46__paper_roles,pooled,2,2019-10-30 12:00:00,West Central,-8.435,37.0461324722,-3.02531587109,13.2870483142,16.3123641853,45.4811324722,539.195405716,-0.454856810403,True
reference_NY46__paper_roles,pooled,2,2019-10-30 12:00:00,Total East,3934.20166667,3940.48945111,1411.04952487,1413.30471563,2.2551907605,6.28778444149,0.159823643378,-0.0924674182572,False
reference_NY46__paper_roles,pooled,2,2019-10-30 12:00:00,Moses South,1805.6025,1715.38211115,647.601410804,615.242765364,-32.3586454409,90.2203888533,4.99669162251,3.16562767906,False
reference_NY46__paper_roles,pooled,2,2019-10-30 12:00:00,Central East,2025.96333333,2131.37632942,726.636517675,764.444177437,37.807659762,105.412996091,5.20310483197,-4.04656414935,False
reference_NY46__paper_roles,pooled,2,2019-10-30 12:00:00,UpNY-Coned,2426.3125,2404.9628921,870.226640721,862.56934284,-7.6572978814,21.3496079027,0.879919956835,0.374554524609,False
reference_NY46__paper_roles,pooled,2,2019-10-30 12:00:00,Dun/SPR-South,3346.33416667,3316.03333333,1200.20365909,1189.33589477,-10.8677643142,30.3008333333,0.905493349563,0.658713768116,False
reference_NY46__paper_roles,pooled,3,2019-10-10 16:00:00,Dysinger East,636.859166667,582.569919532,228.417325971,208.94582378,-19.4715021915,54.2892471344,8.52452943695,1.723468163,False
reference_NY46__paper_roles,pooled,3,2019-10-10 16:00:00,West Central,175.378333333,150.61744191,62.901583317,54.0207868966,-8.88079642048,24.7608914238,14.1185578362,0.247633677605,False
reference_NY46__paper_roles,pooled,3,2019-10-10 16:00:00,Total East,3689.325,3699.72606343,1323.22151466,1326.95198321,3.73046855751,10.4010634338,0.281923209092,-0.152956815203,False
reference_NY46__paper_roles,pooled,3,2019-10-10 16:00:00,Moses South,1483.5075,1458.71233452,532.07810132,523.185012089,-8.89308923145,24.7951654847,1.67138794274,0.870005806481,False
reference_NY46__paper_roles,pooled,3,2019-10-10 16:00:00,Central East,1942.59583333,1972.49262946,696.7357446,707.45859603,10.7228514295,29.8967961237,1.53901267627,-1.17472676321,False
reference_NY46__paper_roles,pooled,3,2019-10-10 16:00:00,UpNY-Coned,2301.24333333,2190.91494162,825.369055078,785.798428583,-39.5706264951,110.328391714,4.79429489773,1.93558581955,False
