experiment,criterion,rank,timestamp,pooled_error_pct,worst_interface_error_pct,wrong_direction_interfaces,imputed_interface_observations,ambiguous_interface_observations,minimum_sample_count,minimum_distinct_timestamp_count,pooled_rank,minimax_rank
reference_NY46__paper_roles,pooled,1,2019-01-08 15:00:00,2.03209311212,4.06828191994,0,0,0,12,12,1,1
reference_NY46__paper_roles,pooled,2,2019-10-30 12:00:00,2.14457326885,539.195405716,1,0,0,12,12,2,8292
reference_NY46__paper_roles,pooled,3,2019-10-10 16:00:00,2.15322639797,14.1185578362,0,0,0,12,12,3,402
reference_NY46__paper_roles,minimax,1,2019-01-08 15:00:00,2.03209311212,4.06828191994,0,0,0,12,12,1,1
reference_NY46__paper_roles,minimax,2,2019-09-02 13:00:00,3.56852712828,4.27182104299,0,0,0,12,12,69,2
reference_NY46__paper_roles,minimax,3,2019-02-01 15:00:00,2.45403605044,5.52908480639,0,0,0,12,12,7,3
compact51__paper_roles,pooled,1,2019-03-21 14:00:00,7.49858725081,48.3732597579,0,0,0,12,12,1,2269
compact51__paper_roles,pooled,2,2019-07-25 03:00:00,7.53153850768,38.2651354304,0,0,0,12,12,2,329
compact51__paper_roles,pooled,3,2019-05-21 16:00:00,7.55797567984,28.7616441523,0,0,0,12,12,3,22
compact51__paper_roles,minimax,1,2019-05-21 20:00:00,8.83383434427,22.1832245756,0,0,0,12,12,27,1
compact51__paper_roles,minimax,2,2019-05-21 14:00:00,9.00410956769,25.1761787291,0,0,0,12,12,33,2
compact51__paper_roles,minimax,3,2019-03-02 08:00:00,13.1085830497,25.7278116333,0,0,0,12,12,1442,3
compact51__current_roles,pooled,1,2019-05-30 09:00:00,7.8840695837,47.1394186826,0,0,0,12,12,1,809
compact51__current_roles,pooled,2,2019-06-30 01:00:00,8.72681705989,51.5087866269,0,0,0,12,12,2,1640
compact51__current_roles,pooled,3,2019-05-21 20:00:00,8.77360921339,31.2600161099,0,0,0,12,12,3,11
compact51__current_roles,minimax,1,2019-03-02 08:00:00,14.8724035408,27.3576061819,0,0,0,12,12,1579,1
compact51__current_roles,minimax,2,2019-03-02 15:00:00,17.3396942742,27.4007533467,0,0,0,12,12,3430,2
compact51__current_roles,minimax,3,2019-03-02 14:00:00,16.8048417188,27.5834800608,0,0,0,12,12,2990,3
compact51_marcy__paper_roles,pooled,1,2019-09-06 02:00:00,1.77323733741,16.1523841639,0,0,0,12,12,1,384
compact51_marcy__paper_roles,pooled,2,2019-09-08 05:00:00,1.95163633845,5.58571069257,0,0,0,12,12,2,3
compact51_marcy__paper_roles,pooled,3,2019-09-06 03:00:00,2.17022055235,15.3861475735,0,0,0,12,12,3,306
compact51_marcy__paper_roles,minimax,1,2019-07-03 04:00:00,3.27872891732,4.85182860353,0,0,0,12,12,11,1
compact51_marcy__paper_roles,minimax,2,2019-07-22 04:00:00,2.63260196309,5.31087567178,0,0,0,12,12,5,2
compact51_marcy__paper_roles,minimax,3,2019-09-08 05:00:00,1.95163633845,5.58571069257,0,0,0,12,12,2,3
compact51_marcy__current_roles,pooled,1,2019-05-30 09:00:00,8.44044224717,50.9846249599,0,0,0,12,12,1,900
compact51_marcy__current_roles,pooled,2,2019-06-30 01:00:00,9.21045504851,54.9831346669,0,0,0,12,12,2,1659
compact51_marcy__current_roles,pooled,3,2019-05-21 20:00:00,9.30312019944,34.4888459897,0,0,0,12,12,3,14
compact51_marcy__current_roles,minimax,1,2019-03-02 15:00:00,17.783348014,28.9012403414,0,0,0,12,12,3295,1
compact51_marcy__current_roles,minimax,2,2019-03-02 16:00:00,17.4984140272,30.208676464,0,0,0,12,12,3075,2
compact51_marcy__current_roles,minimax,3,2019-03-02 08:00:00,15.3568432717,30.3316186688,0,0,0,12,12,1504,3
