source_compact_bus,retained_common_bus,injection_coefficient,source_bus_eliminated,method
37,37,1,False,exact_compact_DC_Schur_port_injection_map_not_geographic_telemetry
38,38,1,False,exact_compact_DC_Schur_port_injection_map_not_geographic_telemetry
39,39,1,False,exact_compact_DC_Schur_port_injection_map_not_geographic_telemetry
40,40,1,False,exact_compact_DC_Schur_port_injection_map_not_geographic_telemetry
41,41,1,False,exact_compact_DC_Schur_port_injection_map_not_geographic_telemetry
42,42,1,False,exact_compact_DC_Schur_port_injection_map_not_geographic_telemetry
43,43,1,False,exact_compact_DC_Schur_port_injection_map_not_geographic_telemetry
44,44,1,False,exact_compact_DC_Schur_port_injection_map_not_geographic_telemetry
45,45,1,False,exact_compact_DC_Schur_port_injection_map_not_geographic_telemetry
46,46,1,False,exact_compact_DC_Schur_port_injection_map_not_geographic_telemetry
47,47,1,False,exact_compact_DC_Schur_port_injection_map_not_geographic_telemetry
48,48,1,False,exact_compact_DC_Schur_port_injection_map_not_geographic_telemetry
49,49,1,False,exact_compact_DC_Schur_port_injection_map_not_geographic_telemetry
50,50,1,False,exact_compact_DC_Schur_port_injection_map_not_geographic_telemetry
51,51,1,False,exact_compact_DC_Schur_port_injection_map_not_geographic_telemetry
52,52,1,False,exact_compact_DC_Schur_port_injection_map_not_geographic_telemetry
53,53,1,False,exact_compact_DC_Schur_port_injection_map_not_geographic_telemetry
54,54,1,False,exact_compact_DC_Schur_port_injection_map_not_geographic_telemetry
55,55,1,False,exact_compact_DC_Schur_port_injection_map_not_geographic_telemetry
56,56,1,False,exact_compact_DC_Schur_port_injection_map_not_geographic_telemetry
57,57,1,False,exact_compact_DC_Schur_port_injection_map_not_geographic_telemetry
58,58,1,False,exact_compact_DC_Schur_port_injection_map_not_geographic_telemetry
59,59,1,False,exact_compact_DC_Schur_port_injection_map_not_geographic_telemetry
60,60,1,False,exact_compact_DC_Schur_port_injection_map_not_geographic_telemetry
61,61,1,False,exact_compact_DC_Schur_port_injection_map_not_geographic_telemetry
62,62,1,False,exact_compact_DC_Schur_port_injection_map_not_geographic_telemetry
63,63,1,False,exact_compact_DC_Schur_port_injection_map_not_geographic_telemetry
64,64,1,False,exact_compact_DC_Schur_port_injection_map_not_geographic_telemetry
65,65,1,False,exact_compact_DC_Schur_port_injection_map_not_geographic_telemetry
66,66,1,False,exact_compact_DC_Schur_port_injection_map_not_geographic_telemetry
67,67,1,False,exact_compact_DC_Schur_port_injection_map_not_geographic_telemetry
68,68,1,False,exact_compact_DC_Schur_port_injection_map_not_geographic_telemetry
69,69,1,False,exact_compact_DC_Schur_port_injection_map_not_geographic_telemetry
70,70,1,False,exact_compact_DC_Schur_port_injection_map_not_geographic_telemetry
71,71,1,False,exact_compact_DC_Schur_port_injection_map_not_geographic_telemetry
72,72,1,False,exact_compact_DC_Schur_port_injection_map_not_geographic_telemetry
73,73,1,False,exact_compact_DC_Schur_port_injection_map_not_geographic_telemetry
74,74,1,False,exact_compact_DC_Schur_port_injection_map_not_geographic_telemetry
75,75,1,False,exact_compact_DC_Schur_port_injection_map_not_geographic_telemetry
76,76,1,False,exact_compact_DC_Schur_port_injection_map_not_geographic_telemetry
77,77,1,False,exact_compact_DC_Schur_port_injection_map_not_geographic_telemetry
78,78,1,False,exact_compact_DC_Schur_port_injection_map_not_geographic_telemetry
79,79,1,False,exact_compact_DC_Schur_port_injection_map_not_geographic_telemetry
80,80,1,False,exact_compact_DC_Schur_port_injection_map_not_geographic_telemetry
81,81,1,False,exact_compact_DC_Schur_port_injection_map_not_geographic_telemetry
82,82,1,False,exact_compact_DC_Schur_port_injection_map_not_geographic_telemetry
9001,39,0.416666666666667,True,exact_compact_DC_Schur_port_injection_map_not_geographic_telemetry
9001,73,0.583333333333333,True,exact_compact_DC_Schur_port_injection_map_not_geographic_telemetry
9002,73,0.476210981238759,True,exact_compact_DC_Schur_port_injection_map_not_geographic_telemetry
9002,74,0.523789018761241,True,exact_compact_DC_Schur_port_injection_map_not_geographic_telemetry
9003,78,0.5,True,exact_compact_DC_Schur_port_injection_map_not_geographic_telemetry
9003,80,0.5,True,exact_compact_DC_Schur_port_injection_map_not_geographic_telemetry
858,73,0.777389667026472,True,exact_compact_DC_Schur_port_injection_map_not_geographic_telemetry
858,74,0.222610332973528,True,exact_compact_DC_Schur_port_injection_map_not_geographic_telemetry
774,76,0.662178702570379,True,exact_compact_DC_Schur_port_injection_map_not_geographic_telemetry
774,77,0.337821297429621,True,exact_compact_DC_Schur_port_injection_map_not_geographic_telemetry
