hour_index,timestamp,max_internal_branch_error_mw,max_interface_error_mw,max_angle_error_deg,max_native_solved_pg_error_mw,max_nodal_residual_mw,passed
1,2019-01-01T00:00:00,5.5138116294983774e-12,4.547473508864641e-12,1.4210854715202004e-13,4.547473508864641e-13,8.86757334228605e-12,True
2,2019-01-01T01:00:00,6.480149750132114e-12,9.777068044058979e-12,2.984279490192421e-13,4.092726157978177e-12,5.059064278611913e-12,True
3,2019-01-01T02:00:00,5.343281372915953e-12,7.958078640513122e-12,2.5579538487363607e-13,4.092726157978177e-12,7.815970093361102e-12,True
4,2019-01-01T03:00:00,5.6274984672199935e-12,8.86757334228605e-12,2.1316282072803006e-13,4.320099833421409e-12,1.0459189070388675e-11,True
5,2019-01-01T04:00:00,6.139089236967266e-12,7.958078640513122e-12,2.5579538487363607e-13,4.774847184307873e-12,5.002220859751105e-12,True
6,2019-01-01T05:00:00,4.547473508864641e-12,5.9117155615240335e-12,2.4158453015843406e-13,4.092726157978177e-12,6.565414878423326e-12,True
7,2019-01-01T06:00:00,6.139089236967266e-12,8.412825991399586e-12,2.5579538487363607e-13,4.092726157978177e-12,4.433786671143025e-12,True
8,2019-01-01T07:00:00,4.831690603168681e-12,6.366462912410498e-12,1.9895196601282805e-13,2.7284841053187847e-12,4.831690603168681e-12,True
9,2019-01-01T08:00:00,5.286437954055145e-12,4.433786671143025e-12,1.5631940186722204e-13,2.9558577807620168e-12,9.265477274311706e-12,True
10,2019-01-01T09:00:00,5.7980287238024175e-12,6.366462912410498e-12,2.2737367544323206e-13,2.5011104298755527e-12,7.631228982063476e-12,True
11,2019-01-01T10:00:00,6.252776074688882e-12,9.777068044058979e-12,2.984279490192421e-13,6.366462912410498e-12,8.554934538551606e-12,True
12,2019-01-01T11:00:00,6.366462912410498e-12,8.86757334228605e-12,2.7000623958883807e-13,5.9117155615240335e-12,8.895995051716454e-12,True
13,2019-01-01T12:00:00,5.7980287238024175e-12,9.094947017729282e-12,2.2737367544323206e-13,3.865352482534945e-12,6.764366844436154e-12,True
14,2019-01-01T13:00:00,5.7980287238024175e-12,8.412825991399586e-12,2.2737367544323206e-13,4.092726157978177e-12,6.0538241086760536e-12,True
15,2019-01-01T14:00:00,6.991740519879386e-12,7.275957614183426e-12,1.4210854715202004e-13,6.821210263296962e-13,7.986500349943526e-12,True
16,2019-01-01T15:00:00,6.366462912410498e-12,1.000444171950221e-11,3.410605131648481e-13,7.275957614183426e-12,9.322320693172514e-12,True
17,2019-01-01T16:00:00,5.9117155615240335e-12,9.094947017729282e-12,1.9895196601282805e-13,2.9558577807620168e-12,1.2590817277668975e-11,True
18,2019-01-01T17:00:00,8.185452315956354e-12,1.0913936421275139e-11,3.410605131648481e-13,7.958078640513122e-12,7.844391802791506e-12,True
19,2019-01-01T18:00:00,6.139089236967266e-12,1.1141310096718371e-11,2.5579538487363607e-13,4.092726157978177e-12,5.258016244624741e-12,True
20,2019-01-01T19:00:00,7.73070496506989e-12,1.0231815394945443e-11,3.268496584496461e-13,8.071765478234738e-12,7.474909580196254e-12,True
21,2019-01-01T20:00:00,5.002220859751105e-12,7.048583938740194e-12,2.2737367544323206e-13,2.3874235921539366e-12,4.916955731459893e-12,True
22,2019-01-01T21:00:00,5.8548721426632255e-12,8.412825991399586e-12,2.1316282072803006e-13,4.661160346586257e-12,1.1453948900452815e-11,True
23,2019-01-01T22:00:00,6.707523425575346e-12,7.958078640513122e-12,2.984279490192421e-13,5.002220859751105e-12,8.128608897095546e-12,True
24,2019-01-01T23:00:00,6.139089236967266e-12,7.844391802791506e-12,2.4158453015843406e-13,3.183231456205249e-12,6.792788553866558e-12,True
25,2019-01-02T00:00:00,5.4001247917767614e-12,7.503331289626658e-12,2.4158453015843406e-13,4.774847184307873e-12,7.815970093361102e-12,True
26,2019-01-02T01:00:00,5.030642569181509e-12,6.59383658785373e-12,2.1316282072803006e-13,4.433786671143025e-12,6.679101716144942e-12,True
27,2019-01-02T02:00:00,5.4569682106375694e-12,7.73070496506989e-12,2.8421709430404007e-13,6.59383658785373e-12,6.110667527536862e-12,True
28,2019-01-02T03:00:00,4.064304448547773e-12,5.343281372915953e-12,1.1368683772161603e-13,1.0231815394945443e-12,6.66489086142974e-12,True
