source_bus,source_name,released_allocation_zone,source_area,retained_in_NY_only,representation_role,physical_zone_verified,ny_only_row
21,MILLSTONE PT,NA,1,False,retained_external_NE_auxiliary_generator_and_DC_sender,False,
29,NORTHFIELD,NA,1,False,retained_external_boundary_bus,False,
35,SOUTHINGTEN,NA,1,False,retained_external_boundary_bus,False,
37,NEW SEATHED,F,2,True,original_NY_bus,False,1
38,GILBOA,E,2,True,original_NY_bus,False,2
39,LEEDS,G,2,True,original_NY_bus,False,3
40,NEW SEATHED,F,2,True,original_NY_bus,False,4
41,ROTTERDAM,F,2,True,original_NY_bus,False,5
42,ALBANY,F,2,True,original_NY_bus,False,6
43,EDIC,E,2,True,original_NY_bus,False,7
44,PORTER,E,2,True,original_NY_bus,False,8
45,PORTER,E,2,True,original_NY_bus,False,9
46,COLTON,E,2,True,original_NY_bus,False,10
47,MOSES W,E,2,True,original_NY_bus,False,11
48,MOSES E,D,2,True,original_NY_bus,False,12
49,PLATTSBURGH,D,2,True,original_NY_bus,False,13
50,CLAY,C,2,True,original_NY_bus,False,14
51,CLAY,C,2,True,original_NY_bus,False,15
52,ROCHESTER,B,2,True,original_NY_bus,False,16
53,ROCHESTER,B,2,True,original_NY_bus,False,17
54,NIAGARA W,A,2,True,original_NY_bus,False,18
55,NIAGARA E,A,2,True,original_NY_bus,False,19
56,HUNTLEY,A,2,True,original_NY_bus,False,20
57,HUNTLEY,A,2,True,original_NY_bus,False,21
58,GARDENVILLE,A,2,True,original_NY_bus,False,22
59,GARDENVILLE,A,2,True,original_NY_bus,False,23
60,DUNKIRK,A,2,True,original_NY_bus,False,24
61,DUNKIRK,A,2,True,original_NY_bus,False,25
62,STOLLE RD,B,2,True,original_NY_bus,False,26
63,MEYER,C,2,True,original_NY_bus,False,27
64,MEYER,C,2,True,original_NY_bus,False,28
65,GESONIDGE,C,2,True,original_NY_bus,False,29
66,WATERCURE,C,2,True,original_NY_bus,False,30
67,WRHL,C,2,True,original_NY_bus,False,31
68,HILLSIDE,C,2,True,original_NY_bus,False,32
69,BINGHAMTON,E,2,True,original_NY_bus,False,33
70,BINGHAMTON,C,2,True,original_NY_bus,False,34
71,BINGHAMTON,C,2,True,original_NY_bus,False,35
72,LAPEER,C,2,True,original_NY_bus,False,36
73,PLEASANT VLY,G,3,True,original_NY_bus,False,37
74,MILLWOOD,H,3,True,original_NY_bus,False,38
75,RAMAPO,G,3,True,original_NY_bus,False,39
76,RAMAPO,G,3,True,original_NY_bus,False,40
77,BUCHANAN,G,3,True,original_NY_bus,False,41
78,CE UG,I,3,True,original_NY_bus,False,42
79,RAV A-3,K,3,True,original_NY_bus,False,43
80,NORTHPORT,K,3,True,original_NY_bus,False,44
81,GOETHALS,J,3,True,original_NY_bus,False,45
82,AK-3,J,3,True,original_NY_bus,False,46
100,PHAS,NA,4,False,retained_external_boundary_bus,False,
102,BP 76,NA,4,False,retained_external_boundary_bus,False,
103,PA 27,NA,4,False,retained_external_boundary_bus,False,
124,BRANCHBURG,NA,6,False,retained_external_boundary_bus,False,
125,LINDON,NA,6,False,retained_external_boundary_bus,False,
132,JUNIATA,NA,6,False,retained_external_PJM_auxiliary_load_and_generator_aggregate,False,
134,HOMER CITY,NA,6,False,retained_external_boundary_bus,False,
138,E TOMANO,NA,6,False,retained_external_boundary_bus,False,
