month,month_label,nygrid_wape_pct,hours,interface_observations,compact51_wape_pct,compact_marcy_wape_pct
1,Jan,11.8156898339,744,5208,17.7681392245,12.1175447715
2,Feb,9.31342596917,672,4704,15.5728139596,10.0252078495
3,Mar,9.95635829218,744,5208,14.5949613129,9.88380534799
4,Apr,13.4314320341,720,5040,20.18213695,15.0625505672
5,May,12.7802533568,744,5208,19.201937493,14.118883912
6,Jun,11.1515261545,720,5040,16.7887401493,12.3635728672
7,Jul,11.2814078694,744,5208,16.4571303017,12.3985527074
8,Aug,10.9283807223,744,5208,16.7386813934,12.1159336111
9,Sep,9.99706210389,720,5040,15.5952461839,10.4784187612
10,Oct,13.1997624374,744,5208,20.5832787007,15.101181324
11,Nov,11.2446142348,720,5040,19.2882177922,13.4215795599
12,Dec,10.0259477619,744,5208,17.3713235841,11.76491886
