zone_pair,zone_a,zone_b,online_branch_count,sum_rate_a_mva,sum_abs_pf_mw,net_flow_a_to_b_mw,max_individual_loading_pct
A-B,A,B,15,5581,936.30449009999,884.362002703974,34.4287044682787
J-K,J,K,12,2950,614.171545768604,-614.171545768604,58.7564852222287
E-F,E,F,10,5389,1883.53363582786,1847.64679009284,51.8370473318531
C-E,C,E,14,7583,1839.5438845166,1839.5438845166,35.5094989744204
B-C,B,C,11,3935,272.726144102487,-149.156193350955,26.278543263223
D-F,D,F,3,348,109.5054461204,109.5054461204,36.3803733051884
A-C,A,C,2,620,64.4988097656425,64.4988097656425,13.8582318073986
E-G,E,G,7,3054,1233.27391301438,1233.27391301438,60.336939234135
D-E,D,E,3,1073,144.787744049701,-71.9890618474562,57.1592966984083
F-G,F,G,10,4604,2439.76519098551,2427.39472809807,75.6915668911201
H-I,H,I,6,7296,3435.8061712125,-3435.8061712125,54.3640180383073
H-K,H,K,4,3850,1086.12699507598,1086.12699507598,31.0343385594122
G-I,G,I,10,10243,4213.39482518596,3996.46780603109,69.7154063031121
H-J,H,J,8,5804,1024.58829919033,1024.58829919033,33.7345062111842
