gen_index,bus_id,bus_name,zone,is_external_boundary_equivalent,status,pg_mw,qg_mvar,pmin_mw,pmax_mw,qmin_mvar,qmax_mvar,vg_pu
1,42,ALBANY      ,F,0,1,302.288735840258,246.83179192578,0,462.736804996695,-999,999,1.1
2,47,MOSES W     ,D,0,1,353.523449227613,252.677440894305,0,944.920662,-999,999,1.09999999
3,48,MOSES E     ,D,0,1,14.9876768512019,-182.471448870151,0,40.0600457,-999,999,1.1
4,50,CLAY        ,C,0,1,1310.21462495189,495.000652982835,0,1713.60600334742,-999,999,1.1
5,51,CLAY        ,C,0,1,347.192281690299,-117.08879368541,0,454.08650376058,-999,999,1.08300607
6,53,ROCHESTER   ,B,0,1,286.871682543475,343.892599414308,0,288.8,-999,999,1.09999998
7,54,NIAGARA W   ,A,0,1,246.416033744683,-132.695032120012,0,247.044497219355,-999,999,1.05172033
8,54,NIAGARA W   ,A,0,1,246.416033744683,-1328.14577193994,0,247.044497219355,-9999,9999,1.05172033
9,55,NIAGARA E   ,A,0,1,246.416033744683,468.42270505451,0,247.044497219355,-999,999,1.08981247
10,56,HUNTLEY     ,A,0,1,388.510148274276,980.774258086137,0,389.501010898024,-999,999,1.1
11,57,HUNTLEY     ,A,0,1,11.2346026241695,38.5626137813573,0,11.2632555380828,-999,999,1.0934149
12,60,DUNKIRK     ,A,0,1,46.7184184654411,104.823940200654,0,46.8375698824726,-999,999,1.09860245
13,61,DUNKIRK     ,A,0,1,103.799938964711,-101.349839794853,0,104.064672023357,-999,999,1.05145966
14,65,GESONIDGE   ,C,0,1,47.1804671298099,-43.9174954940091,0,61.7064793619949,-999,999,1.07077891
15,68,HILLSIDE    ,C,0,1,114.644413399518,8.99784914842263,0,149.941354118888,-999,999,1.1
16,71,BINGHAMTON  ,C,0,1,20.0938218956801,233.214867496294,0,26.2803461164964,-999,999,1.1
17,72,LAPEER      ,C,0,1,80.7254176868936,-134.681591239203,0,105.57931329462,-999,999,1.08884679
18,78,CE UG       ,I,0,1,1.36785827514832,-72.7042743604528,0,565.099092,-999,999,0.974721326
19,79,RAV A-3     ,J,0,1,544.972073402601,481.854234781453,0,963.227692498366,-999,999,0.980677999
20,80,NORTHPORT   ,K,0,1,89.2887473984272,79.4492769570894,0,222.491804715181,-999,999,0.952721175
21,82,AK-3        ,J,0,1,124.192524929697,811.414978784392,0,219.532044794433,-999,999,0.997173511
22,79,RAV A-3     ,J,0,1,1132.3762032679,0,0,2001.6733174616,-0,0,0.980677999
23,82,AK-3        ,J,0,1,180.388875779602,0,0,318.868939821318,-0,0,0.997173511
24,81,GOETHALS    ,J,0,1,392.479042711045,0,0,693.775465424283,-0,0,0.950759831
25,43,EDIC        ,E,0,1,128.316999807151,0,0,400,-0,0,1.0573451
26,44,PORTER      ,E,0,1,64.1584999035755,0,0,200,-0,0,1.06365915
27,38,GILBOA      ,F,0,1,408.905894035681,0,0,625.943955286439,-0,0,1.0319714
28,42,ALBANY      ,F,0,1,266.097367713283,0,0,407.335871816091,-0,0,1.1
29,41,ROTTERDAM   ,F,0,1,141.138267813782,0,0,216.051289272751,-0,0,1.06962395
30,37,NEW SEATHED ,F,0,1,297.846071098603,0,0,455.936073628024,-0,0,1.02100313
31,73,PLEASANT VLY,G,0,1,321.224543420029,0,0,788.260432664784,-0,0,0.977954429
32,76,RAMAPO      ,G,0,1,209.267510210696,0,0,513.526445971687,-0,0,0.972794501
33,39,LEEDS       ,G,0,1,366.031438148537,0,0,898.21312136353,-0,0,0.999498185
34,80,NORTHPORT   ,K,0,1,183.178529754988,0,0,456.448576755135,-0,0,0.952721175
35,9003,EAST GARDEN CITY,K,0,1,684.634733203936,0,0,1705.98896052968,-0,0,0.952721175
36,48,MOSES E     ,D,1,1,-164.080120401418,-91.3270514865617,-164.081120401418,-164.079120401418,-500,500,1.03
37,37,NEW SEATHED ,F,1,1,38.1333323888855,9.557113971978,38.1323323888855,38.1343323888855,-500,500,1.03
38,73,PLEASANT VLY,G,1,1,57.1999985833283,14.335670957967,57.1989985833283,57.2009985833283,-500,500,1.03
39,54,NIAGARA W   ,A,1,1,877.916709748932,-99.6208949849937,877.915709748932,877.917709748932,-750,750,1.03
40,66,WATERCURE   ,C,1,1,228.438693616214,57.2521333366672,228.437693616214,228.439693616214,-750,750,1.03
41,67,WRHL        ,C,1,1,97.9022972640919,24.5366285728574,97.9012972640919,97.9032972640919,-500,500,1.03
42,75,RAMAPO      ,G,1,1,163.170495440153,40.8943809547623,163.169495440153,163.171495440153,-500,500,1.03
43,81,GOETHALS    ,J,1,1,163.170495440153,40.8943809547623,163.169495440153,163.171495440153,-500,500,1.03
